id,name,code,user_type_id/id,reconcile,currency_id/id,tax_ids/id
__setup__.l10n_ch_coa_original_1021,UBS CH43 0025 5255 1046 6501 N / CHF,10200,account.data_account_type_liquidity,0,,
__setup__.coa_neom_10250,UBS CH93 0025 5255 1046 6560 D / EUR,10250,account.data_account_type_liquidity,0,base.EUR,
__setup__.coa_neom_10700,UBS Card,10700,account.data_account_type_liquidity,0,,
__setup__.coa_neom_10710,UBS - Mastercard Jonas Larsson / CHF,10710,account.data_account_type_liquidity,0,,
__setup__.coa_neom_10720,UBS - Mastercard Vincent Lefauconnier / CHF,10720,account.data_account_type_liquidity,0,,
__setup__.l10n_ch_coa_original_1090,Temporary Account,10900,account.data_account_type_current_assets,1,,
__setup__.l10n_ch_coa_original_1100,Receivables from Foreing Third Parties / CHF,11001,account.data_account_type_receivable,1,,
__setup__.coa_neom_11002,Receivables from Foreing Third Parties / EUR,11002,account.data_account_type_receivable,1,base.EUR,
__setup__.coa_neom_11009,Allowance For Credit Losses (aggregate)  ,11009,account.data_account_type_receivable,1,,
__setup__.coa_neom_11040,Short-term Advances,11040,account.data_account_type_receivable,1,,
__setup__.l10n_ch_coa_original_1170,VAT Tax Related Receivables - Switzerland,11070,account.data_account_type_current_assets,0,,
__setup__.l10n_ch_coa_original_1171,VAT Tax Related Receivables Other expenses - Switzerland,11071,account.data_account_type_current_assets,0,,
__setup__.coa_neom_11072,VAT Tax Related Receivables - Germany,11072,account.data_account_type_current_assets,0,,
__setup__.coa_neom_11080,Witholding Tax,11080,account.data_account_type_current_assets,0,,
__setup__.coa_neom_11090,Receivable HE Medical GmbH,11090,account.data_account_type_current_assets,0,,
__setup__.coa_neom_11092,Advances to suppliers,11092,account.data_account_type_current_assets,0,,
__setup__.coa_neom_12011,Inventories Medbase Pedicle Screw System,12011,account.data_account_type_current_assets,0,,
__setup__.coa_neom_12012,Inventories Hospitals Pedicle Screw System,12012,account.data_account_type_current_assets,0,,
