id,account_debit/id,account_credit/id
enfinfidu_payroll.c2c_salary_rule_MSal,enfinfidu_account.1_account_tmp_5000,
enfinfidu_payroll.c2c_salary_rule_HSal,enfinfidu_account.1_account_tmp_5000,
enfinfidu_payroll.c2c_salary_rule_HolAllow,enfinfidu_account.1_account_tmp_5000,
enfinfidu_payroll.c2c_salary_rule_h100h,enfinfidu_account.1_account_tmp_5000,
enfinfidu_payroll.c2c_salary_rule_h125h,enfinfidu_account.1_account_tmp_5000,
enfinfidu_payroll.c2c_salary_rule_h150h,enfinfidu_account.1_account_tmp_5000,
enfinfidu_payroll.c2c_salary_rule_h200h,enfinfidu_account.1_account_tmp_5000,
enfinfidu_payroll.c2c_salary_rule_h100m,enfinfidu_account.1_account_tmp_5000,
enfinfidu_payroll.c2c_salary_rule_h125m,enfinfidu_account.1_account_tmp_5000,
enfinfidu_payroll.c2c_salary_rule_h150m,enfinfidu_account.1_account_tmp_5000,
enfinfidu_payroll.c2c_salary_rule_h200m,enfinfidu_account.1_account_tmp_5000,
enfinfidu_payroll.c2c_salary_rule_13th,enfinfidu_account.1_account_tmp_5000,
enfinfidu_payroll.c2c_salary_rule_grat,enfinfidu_account.1_account_tmp_5000,
enfinfidu_payroll.c2c_salary_rule_bonus,enfinfidu_account.1_account_tmp_5000,
enfinfidu_payroll.c2c_salary_rule_privcar,enfinfidu_account.1_account_tmp_5000,
enfinfidu_payroll.c2c_salary_rule_allowAPG,enfinfidu_account.1_account_tmp_5000,
enfinfidu_payroll.c2c_salary_rule_allowmili,enfinfidu_account.1_account_tmp_5000,
enfinfidu_payroll.c2c_salary_rule_allowacci,enfinfidu_account.1_account_tmp_5000,
enfinfidu_payroll.c2c_salary_rule_allowsick,enfinfidu_account.1_account_tmp_5000,
enfinfidu_payroll.c2c_salary_rule_allowmat,enfinfidu_account.1_account_tmp_5000,
enfinfidu_payroll.c2c_salary_rule_allowcorr,enfinfidu_account.1_account_tmp_5000,
l10n_ch_hr_payroll.AVS_C,enfinfidu_account.1_account_tmp_5700,enfinfidu_account.1_account_tmp_2152
l10n_ch_hr_payroll.AVS_E,,enfinfidu_account.1_account_tmp_2152
l10n_ch_hr_payroll.AC_C,enfinfidu_account.1_account_tmp_5700,enfinfidu_account.1_account_tmp_2152
l10n_ch_hr_payroll.AC_E,,enfinfidu_account.1_account_tmp_2152
l10n_ch_hr_payroll.AC_C_SOL,enfinfidu_account.1_account_tmp_5700,enfinfidu_account.1_account_tmp_2152
l10n_ch_hr_payroll.AC_E_SOL,,enfinfidu_account.1_account_tmp_2152
l10n_ch_hr_payroll.ALFA_VD,enfinfidu_account.1_account_tmp_2152,
l10n_ch_hr_payroll.FADMIN,enfinfidu_account.1_account_tmp_5700,enfinfidu_account.1_account_tmp_2152
l10n_ch_hr_payroll.IMP_SRC,,enfinfidu_account.1_account_tmp_2156
l10n_ch_hr_payroll.LAA_C,enfinfidu_account.1_account_tmp_5720,enfinfidu_account.1_account_tmp_2154
l10n_ch_hr_payroll.LAA_E,,enfinfidu_account.1_account_tmp_2154
l10n_ch_hr_payroll.LCA_C,enfinfidu_account.1_account_tmp_5730,enfinfidu_account.1_account_tmp_2155
