id,chart_template_id/id
l10n_ch.vat_25,enfinfidu_chart_template
l10n_ch.vat_25_incl,enfinfidu_chart_template
l10n_ch.vat_25_purchase,enfinfidu_chart_template
l10n_ch.vat_25_purchase_incl,enfinfidu_chart_template
l10n_ch.vat_25_invest,enfinfidu_chart_template
l10n_ch.vat_25_invest_incl,enfinfidu_chart_template
l10n_ch.vat_37,enfinfidu_chart_template
l10n_ch.vat_37_incl,enfinfidu_chart_template
l10n_ch.vat_37_purchase,enfinfidu_chart_template
l10n_ch.vat_37_purchase_incl,enfinfidu_chart_template
l10n_ch.vat_37_invest,enfinfidu_chart_template
l10n_ch.vat_37_invest_incl,enfinfidu_chart_template
l10n_ch.vat_77,enfinfidu_chart_template
l10n_ch.vat_77_incl,enfinfidu_chart_template
l10n_ch.vat_77_purchase,enfinfidu_chart_template
l10n_ch.vat_77_purchase_incl,enfinfidu_chart_template
l10n_ch.vat_77_invest,enfinfidu_chart_template
l10n_ch.vat_77_invest_incl,enfinfidu_chart_template
l10n_ch.vat_XO,enfinfidu_chart_template
l10n_ch.vat_O_exclude,enfinfidu_chart_template
l10n_ch.vat_O_import,enfinfidu_chart_template
l10n_ch.vat_100_import,enfinfidu_chart_template
l10n_ch.vat_38,enfinfidu_chart_template
l10n_ch.vat_38_incl,enfinfidu_chart_template
l10n_ch.vat_38_purchase,enfinfidu_chart_template
l10n_ch.vat_38_purchase_incl,enfinfidu_chart_template
l10n_ch.vat_38_invest,enfinfidu_chart_template
l10n_ch.vat_38_invest_incl,enfinfidu_chart_template
l10n_ch.vat_80,enfinfidu_chart_template
l10n_ch.vat_80_incl,enfinfidu_chart_template
l10n_ch.vat_80_purchase,enfinfidu_chart_template
l10n_ch.vat_80_purchase_incl,enfinfidu_chart_template
l10n_ch.vat_80_invest,enfinfidu_chart_template
l10n_ch.vat_80_invest_incl,enfinfidu_chart_template
