"id","code","name","user_type_id/id","reconcile","chart_template_id/id"
"specific_account.account_tmp_1000",1000,"Liquidités et titres","account.data_account_type_liquidity",,"enfinfidu_chart_template"
"specific_account.account_tmp_1100",1100,"Créances","account.data_account_type_current_assets",,"enfinfidu_chart_template"
"specific_account.account_tmp_1101",1101,"Débiteurs","account.data_account_type_receivable",1,"enfinfidu_chart_template"
"specific_account.account_tmp_1102",1102,"TVA à récupérer s/matériel, marchandises, prestations et énergie","account.data_account_type_current_assets",,"enfinfidu_chart_template"
"specific_account.account_tmp_1103",1103,"TVA à récupérer s/investissements et autres charges d’exploitation","account.data_account_type_current_assets",,"enfinfidu_chart_template"
"specific_account.account_tmp_1104",1104,"Créances envers des tiers","account.data_account_type_current_assets",,"enfinfidu_chart_template"
"specific_account.account_tmp_1200",1200,"Stocks et travaux en cours","account.data_account_type_current_assets",,"enfinfidu_chart_template"
"specific_account.account_tmp_1300",1300,"Actifs de régularisation","account.data_account_type_current_assets",,"enfinfidu_chart_template"
"specific_account.account_tmp_1400",1400,"Immobilisations financières","account.data_account_type_current_assets",,"enfinfidu_chart_template"
"specific_account.account_tmp_1409",1409,"Ajustement de la valeur des immobilisations financière","account.data_account_type_current_assets",,"enfinfidu_chart_template"
"specific_account.account_tmp_1510",1510,"Immobilisations corporelles : Machines et appareils","account.data_account_type_current_assets",,"enfinfidu_chart_template"
"specific_account.account_tmp_1519",1519,"Amortissements sur les machines et appareils","account.data_account_type_current_assets",,"enfinfidu_chart_template"
"specific_account.account_tmp_1520",1520,"Immobilisations corporelles : Mobilier et installations","account.data_account_type_current_assets",,"enfinfidu_chart_template"
"specific_account.account_tmp_1529",1529,"Amortissements sur le mobilier et les installations","account.data_account_type_current_assets",,"enfinfidu_chart_template"
"specific_account.account_tmp_1530",1530,"Immobilisations corporelles : Machines de bureau & informatique","account.data_account_type_current_assets",,"enfinfidu_chart_template"
"specific_account.account_tmp_1539",1539,"Amortissements sur les machines de bureau et informatique","account.data_account_type_current_assets",,"enfinfidu_chart_template"
"specific_account.account_tmp_1540",1540,"Immobilisations corporelles : Vehicules","account.data_account_type_current_assets",,"enfinfidu_chart_template"
"specific_account.account_tmp_1549",1549,"Amortissements sur les véhicules","account.data_account_type_current_assets",,"enfinfidu_chart_template"
"specific_account.account_tmp_1550",1550,"Immobilisations corporelles : Outillage","account.data_account_type_current_assets",,"enfinfidu_chart_template"
"specific_account.account_tmp_1559",1559,"Amortissements sur l'outillage","account.data_account_type_current_assets",,"enfinfidu_chart_template"
"specific_account.account_tmp_1600",1600,"Immobilisations corporelles: immeubles","account.data_account_type_current_assets",,"enfinfidu_chart_template"
"specific_account.account_tmp_1609",1609,"Amortissements sur les immeubles","account.data_account_type_current_assets",,"enfinfidu_chart_template"
